,LotArea,SalePrice
154,11340,125000
155,9600,79000
156,7200,109500
157,12003,269500
158,12552,254900
159,19378,320000
160,11120,162500
161,13688,412500
162,12182,220000
163,5500,103200
164,5400,152000
165,10106,127500
166,10708,190000
167,10562,325624
168,8244,183500
169,16669,228000
170,12358,128500
172,5306,239000
173,10197,163000
174,12416,184000
175,12615,243000
176,10029,211000
177,13650,172500
178,17423,501837
179,8520,100000
180,2117,177000
181,7588,200100
182,9060,120000
183,11426,200000
184,7438,127000
185,22950,475000
186,9947,173000
187,10410,135000
188,7018,153337
189,4923,286000
190,10570,315000
191,7472,184000
192,9017,192000
193,2522,130000
194,7180,127000
195,2280,148500
196,9416,311872
197,25419,235000
198,5520,104000
199,9591,274900
200,8546,140000
201,10125,171500
202,7000,112000
203,4438,149000
204,3500,110000
205,11851,180500
206,13673,143900
207,12493,141000
208,14364,277000
209,8250,145000
210,5604,98000
211,10420,186000
212,8640,252678
213,13568,156000
214,10900,161750
215,10011,134450
216,8450,210000
217,9906,107000
218,15660,311500
219,3010,167240
220,8990,204900
221,8068,200000
222,11475,179900
223,10500,97000
224,13472,386250
225,1680,112000
226,9950,290000
227,1869,106000
228,8521,125000
229,3182,192500
230,8760,148000
231,15138,403000
232,1680,94500
233,10650,128200
234,7851,216500
235,1680,89500
236,8773,185500
237,9453,194500
238,12030,318000
239,8741,113000
240,9000,262500
241,3880,110500
242,5000,79000
243,10762,120000
244,8880,205000
245,10400,241500
246,9142,137000
247,11310,140000
248,11317,180000
250,5350,76500
251,4750,235000
252,8366,173000
253,9350,158000
254,8400,145000
255,8738,230000
256,8791,207500
257,8814,220000
258,12435,231500
259,12702,97000
260,19296,176000
261,9588,276000
262,8471,151000
263,5500,130000
264,5232,73000
265,12090,175500
266,11207,185000
267,8400,179500
268,6900,120500
269,7917,148000
270,10728,266000
272,11764,290000
273,9600,139000
274,8314,124500
275,7264,205000
276,9196,201000
277,19138,141000
278,14450,415298
279,10005,192000
280,11287,228500
281,7200,185000
282,5063,207500
283,9612,244600
284,8012,179200
285,4251,164700
286,9786,159000
287,8125,88000
288,9819,122000
289,8730,153575
290,15611,233230
291,5687,135900
292,11409,131000
293,16659,235000
294,9600,167000
295,7937,142500
296,13710,152000
297,7399,239000
298,11700,175000
299,14000,158500
300,15750,157000
301,16226,267000
302,13704,205000
303,9800,149900
304,18386,295000
305,10386,305900
306,13474,225000
307,7920,89500
308,12342,82500
309,12378,360000
310,7685,165600
311,8000,132000
312,7800,119900
314,9600,178000
315,7795,188500
316,13005,260000
317,9000,270000
318,9900,260000
319,14115,187500
320,16259,342643
321,12099,354000
322,10380,301000
323,5820,126175
324,11275,242000
325,5000,87000
326,10846,324000
327,11600,145250
328,11888,214500
329,6402,78000
330,10624,119000
331,8176,139000
332,10655,284000
333,8198,207000
334,9042,192000
336,14157,377426
337,9135,214000
338,14145,202500
339,12400,155000
340,14191,202900
341,8400,82000
342,8544,87500
343,8849,266000
344,2592,85000
345,6435,140200
346,12772,151500
347,17600,157500
348,2448,154000
349,20431,437154
350,7820,318061
351,5271,190000
352,9084,95000
353,8520,105900
354,8400,140000
355,11249,177500
356,9248,173000
357,4224,134000
358,6930,130000
359,12011,280000
360,7540,156000
361,9144,145000
362,7301,198500
363,1680,118000
364,18800,190000
365,10690,147000
366,9500,159000
367,9150,165000
368,7800,132000
369,9830,162000
370,8121,172400
371,17120,134432
372,7175,125000
373,10634,123000
374,8200,219500
375,10020,61000
376,8846,148000
377,11143,340000
378,11394,394432
379,8123,179000
380,5000,127000
381,7200,187750
382,9245,213500
383,9000,76000
385,3182,192000
386,8410,81000
387,7200,125000
388,9382,191000
389,12474,426000
390,8405,119000
391,12209,215000
392,8339,106500
393,7446,100000
394,10134,109000
395,9571,129000
396,7200,123000
397,7590,169500
398,8967,67000
399,8125,241000
400,14963,245500
401,8767,164990
402,10200,108000
403,12090,258000
404,10364,168000
405,9991,150000
406,10480,115000
407,15576,177000
408,14154,280000
409,10800,339750
410,9571,60000
412,4403,222000
413,8960,115000
414,11228,228000
415,8899,181134
416,7844,149500
417,22420,239000
418,8160,126000
419,8450,142000
420,7060,206300
421,16635,215000
422,21750,113000
423,9200,315000
424,9000,139000
425,3378,135000
426,12800,275000
427,8593,109008
428,6762,195400
429,11457,175000
430,1680,85400
431,5586,79900
432,1920,122500
433,10839,181000
434,1890,81000
435,10667,212000
436,4400,116000
437,6000,119000
438,4280,90350
439,12354,110000
440,15431,555000
441,12108,118000
442,6240,162900
443,3922,172500
444,8750,210000
445,9855,127500
446,16492,190000
447,11214,199900
448,8600,119500
449,6000,120000
450,5684,110000
452,9303,204000
453,9000,210000
454,9297,188000
455,9600,175500
456,4571,98000
458,5100,161000
459,7015,110000
460,8004,263435
461,7200,155000
462,8281,62383
463,11988,188700
464,8430,124000
465,3072,178740
466,10628,167000
467,9480,146500
468,11428,250000
469,9291,187000
470,6820,212000
471,11952,190000
472,3675,148000
473,14977,440000
474,5330,251000
475,8480,132500
476,13125,208900
477,13693,380000
478,10637,297000
479,5925,89471
480,16033,326000
481,11846,374000
482,2500,155000
483,4500,164000
484,7758,132500
485,9600,147000
486,10289,156000
487,12243,175000
488,10800,160000
489,1526,86000
490,2665,115000
491,9490,133000
492,15578,172785
493,7931,155000
494,5784,91300
495,7879,34900
496,12692,430000
497,9120,184000
498,7800,130000
499,7535,120000
500,1890,113000
501,9803,226700
502,9170,140000
503,15602,289000
504,2308,147000
505,7596,124500
506,9554,215000
507,7862,208300
508,9600,161000
509,9600,124500
510,14559,164900
511,6792,202665
512,9100,129900
513,9187,134000
514,10594,96500
515,12220,402861
516,10448,158000
517,10208,265000
518,9531,211000
519,10918,234000
520,10800,106250
521,11988,150000
522,5000,159000
524,11787,315750
525,7500,176000
526,13300,132000
527,14948,446261
528,9098,86000
530,10200,175000
531,6155,128000
532,7200,107500
533,5000,39300
534,9056,178000
535,7000,107500
536,8924,188000
537,12735,111250
538,11553,158000
539,11423,272000
540,14601,315000
541,11000,248000
542,10140,213250
543,4058,133000
544,17104,179665
545,13837,229000
546,8737,210000
547,7244,129500
548,8235,125000
549,9375,263000
550,4043,140000
551,6000,112500
552,11146,255500
553,8777,108000
554,10625,284000
555,6380,113000
556,14850,141000
557,11040,108000
558,21872,175000
559,3196,234000
560,11341,121500
561,10010,170000
562,13907,108000
563,21780,185000
564,13346,268000
565,6858,128000
566,11198,325000
567,10171,214000
568,12327,316600
569,7032,135960
570,13101,142600
571,7332,120000
572,13159,224500
573,9967,170000
574,10500,139000
575,8480,118500
576,6292,145000
577,11777,164500
578,3604,146000
579,12150,131500
580,14585,181900
581,12704,253293
582,11841,118500
583,13500,325000
584,6120,133000
585,11443,369900
586,10267,130000
587,8740,137000
588,25095,143000
589,9100,79500
590,8320,185900
591,13478,451950
592,6600,138000
593,4435,140000
594,7990,110000
595,11302,319000
596,3600,114504
597,3922,194201
598,12984,217500
599,1950,151000
600,10927,275000
601,9000,141000
602,10041,220000
603,3182,151000
604,12803,221000
605,13600,205000
606,12464,152000
607,7800,225000
608,12168,359100
609,7943,118500
610,11050,313000
611,10395,148000
612,11885,261500
613,8402,147000
614,1491,75500
615,8800,137500
616,7861,183200
617,7227,105500
618,11694,314813
619,12244,305000
620,8248,67000
621,10800,240000
622,7064,135000
623,2117,168500
624,10400,165150
625,10000,160000
626,12342,139900
627,9600,153000
628,11606,135000
629,9020,168500
630,9000,124000
631,4590,209500
632,11900,82500
633,9250,139400
634,6979,144000
635,10896,200000
636,6120,60000
637,6000,93000
638,8777,85000
639,3982,264561
640,12677,274000
641,7050,226000
642,13860,345000
643,10793,152000
644,9187,370878
645,10530,143250
646,7200,98300
647,10452,155000
648,7700,155000
649,1936,84500
650,8125,205950
651,9084,108000
652,8750,191000
653,10320,135000
654,10437,350000
655,1680,88000
656,10007,145500
657,7200,149000
658,17503,97500
659,9937,167000
660,12384,197900
662,13560,110000
663,10012,137500
664,20896,423000
665,11194,230500
666,18450,129000
667,8125,193500
668,14175,168000
669,11600,137500
670,8633,173500
671,6629,103600
672,11250,165000
673,14442,257500
674,9200,140000
675,2289,148500
676,9600,87000
677,9022,109500
678,11844,372500
679,9945,128500
680,8012,143000
681,4500,159434
682,2887,173000
683,11248,285000
684,16770,221000
685,5062,207500
686,10207,227875
687,5105,148800
688,8089,392000
689,7577,194700
690,4426,141000
691,21535,755000
692,26178,335000
693,5400,108480
694,6120,141500
695,13811,176000
696,6000,89000
697,6420,123500
698,8450,138500
699,4282,196000
700,14331,312500
701,9600,140000
702,12438,361919
703,7630,140000
704,8400,213000
705,5600,55000
707,6240,254000
708,9018,179540
709,7162,109900
710,4130,52000
711,8712,102776
712,4671,189000
713,9873,129000
714,13517,130500
715,10140,165000
716,10800,159500
717,10000,157000
718,10542,341000
719,9920,128500
720,6563,275000
721,4426,143000
722,8120,124500
723,8172,135000
724,13286,320000
725,6960,120500
726,21695,222000
727,7314,194500
728,11475,110000
729,6240,103000
730,5389,236500
731,9590,187500
732,11404,222500
733,10000,131400
734,8978,108000
735,10800,163000
736,8544,93500
737,10463,239900
738,10800,179000
739,9313,190000
740,9600,132000
741,6768,142000
742,8450,179000
743,12886,175000
744,5395,180000
745,8963,299800
746,8795,236000
747,11700,265979
748,10593,260400
749,8405,98000
750,8800,96500
751,7750,162000
752,9236,217000
753,10240,275500
754,7930,156000
755,3230,172500
756,10769,212000
757,11616,158900
758,2280,179400
759,12257,290000
760,9100,127500
761,6911,100000
762,8640,215200
763,9430,337000
764,9549,270000
765,14587,264132
766,10421,196500
767,12508,160000
768,9100,216837
770,7252,134900
771,8877,102000
772,7819,107000
773,10150,114500
774,14226,395000
775,4500,162000
776,11210,221500
777,13350,142500
778,8400,144000
779,10530,135000
780,7875,176000
781,7153,175900
782,16285,187100
783,9101,165500
784,6300,128000
785,9790,161500
786,10800,139000
787,10142,233000
788,6000,107900
789,12205,187500
790,3182,160200
791,11333,146800
792,9920,269790
793,9158,225000
794,10832,194500
795,8400,171000
796,8197,143500
797,7677,110000
798,13518,485000
799,7200,175000
800,12798,200000
801,4800,109900
802,8199,189000
803,13891,582933
804,9000,118000
805,12274,227680
806,9750,135500
807,21384,223500
808,13400,159950
809,8100,106000
810,10140,181000
811,4438,144500
812,8712,55993
813,9750,157900
814,8248,116000
815,12137,224900
816,11425,137000
817,13265,271000
818,8816,155000
819,6371,224000
820,7226,183000
821,6000,93000
822,12394,225000
823,9900,139500
824,11216,232600
825,14803,385000
826,6130,109500
827,8529,189000
828,28698,185000
829,2544,147400
830,11900,166000
831,3180,151000
832,9548,237000
833,10004,167000
834,7875,139950
835,9600,128000
836,8100,153500
837,1680,100000
838,9525,144000
839,11767,130500
840,12155,140000
841,10440,157500
842,9020,174900
843,8000,141000
844,12665,153900
845,16647,171000
846,9317,213000
847,15523,133500
849,9600,187000
850,4435,131500
851,3196,215000
852,7128,164000
853,12095,158000
854,17920,170000
855,6897,127000
856,10970,147000
857,8125,174000
858,10400,152000
859,11029,250000
860,7642,189950
861,11625,131500
862,9672,152000
863,7931,132500
864,8640,250580
865,8750,148500
866,10656,248900
867,6970,129000
868,14762,169000
869,9938,236000
870,6600,109500
871,8750,200500
872,8892,116000
873,12144,133000
874,5720,66500
875,9000,303477
876,25286,132250
877,8834,350000
878,11782,148000
879,7000,136500
880,7024,157000
881,13758,187500
882,9636,178000
883,6204,118500
884,7150,100000
885,5119,328900
886,8393,145000
887,16466,135500
888,15865,268000
889,12160,149500
890,8064,122900
891,11184,172500
892,8414,154500
893,13284,165000
894,7018,118858
895,7056,140000
896,8765,106500
897,7018,142953
898,12919,611657
899,6993,135000
900,7340,110000
901,8712,153000
902,7875,180000
903,14859,240000
904,6173,125500
905,9920,128000
906,13501,255000
907,11500,250000
908,8885,131000
909,12589,174000
910,11600,154300
911,9286,143500
912,6120,88000
913,6270,145000
914,3000,173733
915,2001,75000
916,9000,35311
917,17140,135000
918,13125,238000
919,11029,176500
920,8462,201000
921,8777,145900
922,10237,169990
923,8012,193000
924,10240,207500
925,15611,175000
926,11999,285000
927,9900,176000
928,11838,236500
929,13006,222000
930,8925,201000
931,9100,117500
932,11670,320000
933,8487,190000
934,27650,242000
935,5825,79900
936,10083,184900
937,9675,253000
938,8760,239799
939,24090,244400
940,12640,150900
941,8755,214000
942,7711,150000
943,25000,143000
944,14375,137500
945,8820,124900
946,8163,143000
947,14536,270000
948,14006,192500
949,9360,197500
950,7200,129000
951,7800,119900
952,7200,133900
953,11075,172000
954,9400,127500
955,7136,145000
956,1300,124000
957,7420,132000
958,8450,185000
959,2572,155000
960,7207,116500
961,12227,272000
962,2308,155000
963,11923,239000
964,11316,214900
965,10237,178900
966,9600,160000
967,7390,135000
968,5925,37900
969,10382,140000
970,10800,135000
971,2268,173000
972,7892,99500
973,11639,182000
974,11414,167500
975,2651,165000
976,5900,85500
977,4274,199900
978,9450,110000
979,8816,139000
980,12122,178400
981,12203,336000
982,3182,159895
983,11250,255900
984,10125,126000
985,10880,125000
986,5310,117000
987,10159,395192
988,12046,195000
989,8125,197000
990,9452,348000
991,17671,168000
992,9760,187000
993,8846,173900
994,12456,337500
995,4712,121600
996,10659,136500
997,11717,185000
998,9786,91000
999,6762,206000
1000,10206,82000
1001,5400,86000
1002,11957,232000
1003,11500,136905
1004,3182,181000
1005,8385,149900
1006,12155,163500
1007,2217,88000
1008,12118,240000
1009,6000,102000
1010,21286,135000
1011,9825,100000
1012,10592,165000
1013,7200,85000
1014,11664,119200
1015,8400,227000
1016,11883,203000
1017,5814,187500
1018,10784,160000
1019,3013,213490
1020,7024,176000
1021,7406,194000
1022,9439,87000
1023,3182,191000
1024,15498,287000
1025,7700,112500
1026,9300,167500
1027,9520,293077
1028,9492,105000
1029,1680,118000
1030,7082,160000
1031,15863,197000
1032,14541,310000
1033,8125,230000
1034,6305,119750
1035,11500,84000
1036,12898,315500
1037,9240,287000
1038,1533,97000
1039,1477,80000
1040,13125,155000
1041,9130,173000
1042,5381,196000
1043,11839,262280
1044,9600,278000
1045,13680,139600
1046,16056,556581
1047,9245,145000
1048,21750,115000
1049,11100,84900
1050,8993,176485
1051,11175,200141
1052,9500,165000
1053,8562,144500
1054,11367,255000
1055,11361,180000
1056,7052,185850
1057,29959,248000
1058,11308,335000
1059,11275,220000
1060,4920,213500
1061,18000,81000
1062,13600,90000
1063,6000,110500
1064,11000,154000
1065,14000,328000
1066,7837,178000
1067,9760,167900
1068,3964,151400
1069,9600,135000
1070,10152,135000
1071,11700,154000
1072,7585,91500
1073,7950,159500
1074,8556,194000
1075,13125,219500
1076,10800,170000
1077,15870,138800
1078,4435,155900
1079,8775,126000
1080,11040,145000
1081,7500,133000
1082,8749,192000
1083,8800,160000
1084,13031,187500
1085,9069,147000
1086,1974,83500
1087,10574,252000
1088,2522,137500
1089,3316,197000
1090,8544,92900
1091,2160,160000
1092,8400,136500
1093,9230,146000
1094,5868,129000
1095,9317,176432
1096,6882,127000
1097,3696,170000
1098,6000,128000
1099,11880,157000
1100,8400,60000
1101,9758,119500
1102,7000,135000
1103,8910,159500
1104,2016,106000
1105,12256,325000
1106,10357,179900
1107,23257,274725
1108,8063,181000
1109,11362,280000
1110,8000,188000
1111,10480,205000
1112,7100,129900
1113,8923,134500
1114,5400,117000
1115,12085,318000
1116,7750,184100
1117,9764,130000
1118,13825,140000
1119,7560,133700
1120,8263,118400
1121,10084,212900
1122,8926,112000
1123,9405,118000
1124,9125,163900
1125,10434,115000
1126,3684,174000
1127,14572,259000
1128,11796,215000
1129,7200,140000
1130,7804,135000
1131,10712,93500
1132,9900,117500
1133,9828,239500
1134,8773,169000
1135,6180,102000
1136,9600,119000
1137,6342,94000
1138,9819,196000
1139,8731,144000
1140,7350,139000
1141,10304,197500
1142,9965,424870
1143,9000,80000
1144,12180,80000
1145,6240,149000
1146,11200,180000
1147,12000,174500
1148,5700,116900
1149,9000,143000
1150,8280,124000
1151,17755,149900
1152,14115,230000
1153,5890,120500
1154,13700,201800
1155,10768,218000
1156,9350,179900
1157,5001,230000
1158,11932,235128
1159,9120,185000
1160,2280,146000
1161,14778,224000
1162,8724,129000
1163,12900,108959
1164,16157,194000
1165,9541,233170
1166,10475,245350
1167,10852,173000
1168,13728,235000
1170,9880,171000
1171,9120,163000
1172,4017,171900
1173,18030,200500
1174,16560,239000
1175,10678,285000
1176,6951,119500
1177,3950,115000
1178,7681,154900
1179,8335,93000
1180,11170,250000
1181,5587,392500
1182,15623,745000
1183,10800,120000
1185,9738,104900
1186,10615,95000
1187,12461,262000
1188,8935,195000
1189,7500,189000
1191,2645,174000
1192,9600,125000
1193,4500,165000
1194,9364,158000
1195,8029,176000
1196,14054,219210
1197,8850,144000
1198,9100,178000
1199,11235,148000
1200,9353,116050
1201,10400,197900
1202,6000,117000
1203,9750,213000
1204,10140,153500
1205,14684,271900
1206,8900,107000
1207,9135,200000
1208,7763,140000
1209,10182,290000
1210,11218,189000
1211,12134,164000
1212,9340,113000
1213,10246,145000
1214,10205,134500
1215,7094,125000
1216,8930,112000
1217,8640,229456
1218,6240,80500
1219,1680,91500
1220,7800,115000
1221,8250,134000
1222,10496,143000
1223,10680,137900
1224,15384,184000
1225,10482,145000
1226,14598,214000
1227,8872,147000
1228,8769,367294
1229,7910,127000
1230,18890,190000
1231,7728,132500
1232,9842,101800
1233,12160,142000
1234,8525,130000
1235,13132,138887
1236,2628,175500
1237,12393,195000
1238,13072,142500
1239,9037,265900
1240,8158,224900
1241,9849,248328
1242,10625,170000
1243,13891,465000
1244,11435,230000
1245,12090,178000
1246,8125,186500
1247,12328,169900
1248,9600,129500
1249,7200,119000
1250,11160,244000
1251,3136,171750
1252,9858,130000
1253,17542,294000
1254,6931,165400
1255,6240,127500
1256,14303,301500
1257,4060,99900
1258,9587,190000
1259,9750,151000
1260,24682,181000
1261,9600,128900
1262,11250,161500
1263,13515,180500
1264,4060,181000
1265,3735,183900
1266,10120,122000
1267,13214,378500
1268,14100,381000
1269,11344,144000
1270,23595,260000
1271,9156,185750
1272,13526,137000
1273,11512,177000
1274,5362,139000
1275,11345,137000
1276,12936,162000
1277,17871,197900
1278,9473,237000
1279,7500,68400
1280,9808,227000
1281,8049,180000
1282,8800,150500
1283,9400,139000
1284,9638,169000
1285,6000,132500
1286,9790,143000
1288,5664,278000
1289,11065,281000
1290,14112,180500
1291,1680,119500
1292,6600,107500
1293,10140,162900
1294,8172,115000
1295,8400,138500
1296,8700,155000
1297,3675,140000
1299,7500,154000
1300,10762,225000
1301,7500,177500
1302,10120,290000
1303,8688,232000
1304,3363,130000
1305,13173,325000
1306,6955,202500
1307,8072,138000
1308,12000,147000
1309,7153,179200
1310,17500,335000
1311,8814,203000
1312,9572,302000
1313,14774,333168
1314,8190,119000
1315,11075,206900
1316,10226,295493
1317,4230,208900
1318,14781,275000
1319,10215,111000
1320,8400,156500
1321,6627,72500
1322,10186,190000
1323,5330,82500
1324,9986,147000
1325,3636,55000
1326,4270,79000
1327,6600,130500
1328,10440,256000
1329,9084,176500
1330,10000,227000
1331,10780,132500
1332,8877,100000
1333,7200,125500
1334,2368,125000
1335,9650,167900
1336,9246,135000
1337,4118,52500
1338,13450,200000
1339,9560,128500
1340,8294,123000
1341,13695,155000
1342,9375,228500
1343,7558,177000
1344,11103,155835
1345,6000,108500
1346,20781,262500
1347,15306,283463
1348,16196,215000
1349,5250,122000
1350,11643,200000
1351,9247,171000
1352,6000,134900
1353,14720,410000
1354,10316,235000
1355,10192,170000
1356,9477,110000
1357,12537,149900
1358,2117,177500
1359,16737,315000
1360,9842,189000
1361,16158,260000
1362,12513,104900
1363,8499,156932
1364,3180,144152
1365,7500,216000
1366,9179,193000
1367,2665,127000
1368,4435,144000
1369,10635,232000
1370,5400,105000
1371,9600,165500
1372,9750,274300
1373,11400,466500
1374,10625,250000
1375,10991,239000
1376,6292,91000
1377,10998,117000
1378,1953,83000
1379,9735,167500
1380,8212,58500
1381,12925,237500
1382,7200,157000
1383,25339,112000
1384,9060,105000
1385,5436,125500
1386,16692,250000
1387,8520,136000
1388,14892,377500
1389,6000,131000
1390,9100,235000
1391,8944,124000
1392,7838,123000
1393,10800,163000
1394,4045,246578
1395,12665,281213
1397,6120,137500
1398,7200,138000
1399,6171,137450
1400,6000,120000
1401,7415,193000
1402,6762,193879
1403,15256,282922
1404,10410,105000
1405,3842,275000
1406,8445,133000
1407,8780,112000
1408,7740,125500
1409,20544,215000
1410,12420,230000
1411,9600,140000
1412,7200,90000
1413,10994,257000
1414,13053,207000
1415,3635,175900
1416,11340,122500
1417,16545,340000
1418,9204,124000
1419,16381,223000
1420,11700,179900
1421,4043,127500
1422,4435,136500
1423,19690,274970
1424,9503,144000
1425,10721,142000
1426,10944,271000
1427,10930,140000
1428,7200,119000
1429,12546,182900
1430,21930,192140
1431,4928,143750
1432,10800,64500
1433,10261,186500
1434,17400,160000
1435,8400,174000
1436,9000,120500
1437,12444,394617
1438,7407,149700
1439,11584,197000
1440,11526,191000
1441,4426,149300
1442,11003,310000
1443,8854,121000
1444,8500,179600
1445,8400,129000
1446,26142,157900
1447,10000,240000
1448,11767,112000
1449,1533,92000
1450,9000,136000
1451,9262,287090
1452,3675,145000
1453,17217,84500
1454,7500,185000
1455,7917,175000
1456,13175,210000
1457,9042,266500
1458,9717,142125
1459,9937,147500
